['Product Name'],['Rating'],['Link']
Wildcraft 44 Ltrs Casual Backpack (11629-Wolf_Black),4.3 out of 5 stars,/Wildcraft-Wolf_Blk-Casual-Backpack-11629-Wolf_Blk/dp/B079DDT65R
"Shalimar Large Capacity Travel Bag / Storage Bag / Move-in Bags/ Duffel Bag - Strong, Durable , Foldable and Water Resistant ( Pack of 1 ) ( Blue )",4.1 out of 5 stars,/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7
"Arctic Hunter Laptop Bag,Messenger bags for Men Laptop Sling Bag with Handle Laptop Briefcase for 15.6"" Laptop Multiple Pockets Water-resistant for Travel Office",5.0 out of 5 stars,/Messenger-Briefcase-Multiple-Pockets-Water-resistant/dp/B0B6G58BYC
Lino Perros Faux Leather Handbag,4.2 out of 5 stars,/Lino-Perros-Womens-Handbag-White/dp/B07L4PTRVQ
HP Lightweight 500 Laptop Backpack with Crafted Cable Pass Through and Padded Shoulder Straps,3.6 out of 5 stars,/HP-Lightweight-500-Black-Backpack/dp/B08DCXPCJ1
Wildcraft 44 cms Polyester Black Laptop Bag (8903338054290),4.4 out of 5 stars,/Wildcraft-Polyester-Black-Laptop-8903338054290/dp/B012D4QKHW
Gear Compact Business 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women - IndiaInk,4.3 out of 5 stars,/Gear-Compact-Business-Backpack-BUSCOMPACT052/dp/B08D76WDTV
"Storite PU Leather Latest Stylish Trendy Cross Body Messenger Bag for Girls Women and Men With Multi-Pocket Zip Closure (Dark Brown,26x6.5x28.5 CM)",4.1 out of 5 stars,/Storite-Stylish-Leather-Bag-26x6-5x26/dp/B09GFKGD3Q
Half Moon 34 L Casual Waterproof 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (Navy Blue),3.8 out of 5 stars,/Half-Moon-Waterproof-Laptop-Backpack/dp/B08XVRVTV5
"Amazon Brand - Solimo Rain & Dust Cover for Backpack (30 Litres, Black)",4.2 out of 5 stars,/Amazon-Brand-Solimo-Backpack-litres/dp/B07FQMN9VN
"AirCase Laptop Messenger Bag Case Cover Pouch for 13.3-Inch, 14-Inch, 15.6 -Inch Laptop Bag for Men & Women",3.9 out of 5 stars,/AirCase-C30-Messenger-Compartments-Multi-Pockets/dp/B07V47HHRG
Skybags Network Pro 26L Unisex Blue Laptop Bags,3.8 out of 5 stars,/Skybags-Network-Unisex-Blue-Laptop/dp/B0B4DTMVXY
"Arctic Hunter 28L Laptop Backpack for Men,15.6inch Slim Water Resistant & Anti-Theft College Backpack with USB Charging,Business,Office,Travel Bag,Black",4.1 out of 5 stars,/Backpack-15-6inch-Resistant-Anti-Theft-Charging/dp/B07TW713SC
Lavie Women's Nova Tote Bag | Ladies Purse Handbag,4.2 out of 5 stars,/Lavie-Spring-Summer-Womens-Tote/dp/B081KGGL8V
"AirCase C25 15.6 Inch Messenger Laptop Bag with Shoulder Strap, Water resistant, Handle and 2 Multi Utility Compartments (Black)",4.1 out of 5 stars,/AirCase-C25-Messenger-Shoulder-Compartments/dp/B07P42BHHT
ASTRID 17'' Black & white Textured Laptop Bag With Accessory Pouch,4.4 out of 5 stars,/ASTRID-Black-Textured-Laptop-Accessory/dp/B09Z2G37YY
"Storite Stylish Small PU Leather Sling Cross Body Travel Office One Side Shoulder Bag for Men Women (25 cm x 11 cm x 20 cm, Coffee Brown)",4.0 out of 5 stars,/Storite-Leather-Sling-Coffee-Brown/dp/B0983N9GXN
Skybags Unisex Black Jacqard 34L Laptop Bags,5.0 out of 5 stars,/Skybags-Unisex-Black-Jacqard-Laptop/dp/B09ZV81F6M
Zouk Women's Office Bag (multicolour),4.2 out of 5 stars,/Zouk-Womens-Office-Bag-multicolour/dp/B09L79TM6D
